paper_id,title,preprint_date,question,question_type
1869694,Optimizing multilayer Bayesian neural networks for evaluation of fission yields,2021-06-22,"What network structure, among single-layer, double hidden layers, or deeper networks, demonstrates optimal performance for evaluating fission yields according to the study?",factual
1807488,Baryons in the Gross-Neveu model in 1+1 dimensions at finite number of flavors,2020-07-16,"What is the focus of the current work concerning the finite-Nf Gross-Neveu model, building upon the previous study of its phase structure?",summary
2616275,Three-pion effects in $K^0-\bar{K}^0$ mixing,2022-12-19,"What is the primary challenge in calculating the long-range matrix element for $K^0-ar{K}^0$ mixing using lattice QCD, especially concerning intermediate pion states?",conceptual
2158600,The Nuclear Physics of Neutron Stars,2022-09-29,"What is the main input required to study the structure of neutron stars, and what are the primary constituents that provide this support?",factual
2104884,Non-equilibrium charmonium regeneration in strongly coupled quark-gluon plasma,2022-06-30,"According to the study, what is the minimum value of the K-factor required to accurately describe the measured $J/\psi$ yield and its transverse-momentum dependence in central 5.02 TeV Pb-Pb collisions?",factual
1943961,Axially-deformed solution of the Skyrme-Hartree-Fock-Bogoliubov equations using the transformed harmonic oscillator basis (IV) hfbtho (v4.0): A new version of the program,2021-10-12,What specific symmetries are restored in the new version 4.0 of the hfbtho code for even-even nuclei?,factual
1863520,Azimuthal dependence of two-particle transverse momentum current correlations,2021-05-17,"How is the transverse momentum correlator $G_{2}\	ext{(}\	ext{\	ext Delta 	ext Eta },\	ext{\	ext Delta 	ext Phi }\	ext{)}\	ext{}$ used to probe the shear viscosity per unit of entropy density $\	ext{\	ext Eta }/s$\	ext{‬ of the quark-gluon plasma?",conceptual
2935091,Constraints on $ΛN$ Effective Interactions from Mirror Hypernuclei in a Deformed Relativistic Hartree-Bogoliubov Model,2025-06-16,"What type of framework is used in the study to investigate the ground-state properties of mirror hypernuclei pairs, and what specific pairs are analyzed?",factual
1851398,Supremacy of optimal beam energy for synthesis of superheavy elements,2021-03-12,"What role does the selection of optimal beam energies play in the synthesis of superheavy elements, according to the abstract?",conceptual
3082178,Nuclear surface energy solving Hartree-Fock equations with Gogny interactions using Lagrange mesh,2025-11-12,What is the reduction in surface energy observed when the spin orbit term is included in the calculations using Gogny interactions?,factual
2787022,On the absence of the chiral magnetic effect in equilibrium QCD,2024-05-15,"What is the leading coefficient describing the chiral magnetic effect (CME) in equilibrium QCD, according to the abstract?",factual
1811378,Sampling using $SU(N)$ gauge equivariant flows,2020-08-12,What is the primary challenge addressed by the flow-based sampling algorithm developed in the paper for SU(N) lattice gauge theories?,factual
1810193,Signature of intermittency in hybrid UrQMD-hydro data at 10 AGeV Au+Au collisions,2020-08-05,"What is the relationship between $ln\langle F_{q}\rangle$ and $lnM^{2}$ for $q=2$–6 in hybrid UrQMD-hydro generated Au+Au collisions at 10 AGeV, and what does this indicate?",factual
1856332,Spin/Parity Dependent Level Density,2021-04-06,"What is the fundamental reason behind the Constant Temperature (CT) model of nuclear level density, and what is a critical flaw identified in the standard CT model regarding Yrast energies?",conceptual
2097530,Kinetic factors in affine quantization and their role in field theory Monte Carlo,2020-12-17,"What is the primary role of the principal quantum operators, such as D = (PQ + QP)/2 and Q≠0, in affine quantization concerning kinetic factors?",conceptual
2133844,Nuclear mass predictions with machine learning reaching the accuracy required by <math><mi>r</mi></math>-process studies,2022-08-09,"What accuracy in keV does the proposed Bayesian machine learning mass model achieve, and how does this compare to the accuracy threshold required for $r$-process studies?",factual
2878271,Octupole correlations in superdeformed bands of 56Ni,2025-02-10,"According to the abstract, what are the approximate octupole deformations ($\beta_{30}$) for the positive and negative parity superdeformed bands in $^{56}$Ni, and what is the associated prolate deformation ($\beta_{20}$)?",factual
3094683,Quark-mass effects in gradient-flow observables through next-to-next-to-leading order in QCD,2025-12-22,"What specific quark operators' vacuum expectation values are calculated in the gradient-flow formalism within the abstract, considering $N_F$-flavor QCD with one heavy quark and the rest massless?",factual
1808506,Perturbative Approach to Effective Shell-Model Hamiltonians and Operators,2020-07-22,What is the primary objective of this work regarding effective shell-model Hamiltonians and decay operators?,summary
2959625,Current-enhanced excited states in lattice QCD three-point functions,2025-08-12,"How does the choice of inserted current and kinematics influence excited-state contamination in lattice QCD three-point functions, and what is the proposed method to address this issue?",conceptual
2057398,SuSAv2 model for inelastic neutrino-nucleus scattering,2022-03-23,"How is the SuSAv2 model extended to the full inelastic regime for neutrino-nucleus cross sections, and what two descriptions of the $\Delta$ resonance region are compared in this extension?",summary
2935081,Application of the optimized-basis generator coordinate method to low-lying excited states of <math><mrow><mi>s</mi><mi>d</mi></mrow></math>-shell nuclei,2025-06-16,"How does the simultaneous optimization of basis functions and weight factors in the Optimized-Basis Generator Coordinate Method (OptGCM) affect the energy of low-lying excited states and transition probabilities in sd-shell nuclei like \( ^{20}\text{Ne} \), \( ^{24}\text{Mg} \), and \( ^{28}\text{Si} \) when using a Skyrme interaction?",conceptual
2784398,Collective-subspace requantization for sub-barrier fusion reactions: Inertial functions for collective motions,2024-05-08,"How do the inertial functions calculated using the adiabatic self-consistent collective coordinate (ASCC) method compare to those derived from cranking formulae, and what is the behavior of moments of inertia for rotation in real and gauge spaces as deformation increases?",factual
2100416,Order-by-order anisotropic transport coefficients of a magnetised fluid: a Chapman-Enskog approach,2022-06-24,"How does the magnetic field affect the different components of the shear viscosity, bulk viscosity, and thermal conductivity in a relativistic hot boson gas, according to the Chapman-Enskog method?",factual
2821172,Spatial imaging of polarized deuterons at the Electron-Ion Collider,2024-08-23,What is the relationship between the azimuthal angular dependence of the produced vector meson and the polarization of the deuteron in diffractive vector meson production at small-x?,conceptual
3080429,The size of the quark-gluon plasma in ultracentral collisions: impact of initial density fluctuations on the average transverse momentum,2025-11-06,How does the variation of the volume with multiplicity in ultracentral collisions relate to the radial distribution of the one- and two-point functions of the fluctuating density field?,conceptual
2618184,"Nuclear-matter saturation and symmetry energy within <math><mi mathvariant=""normal"">Δ</mi></math>-full chiral effective field theory",2022-12-26,How does the inclusion of <math><mmultiscripts><mi mathvariant=,factual
1794920,"Systematic study of the $\alpha$ decay preformation factors of the nuclei around the $Z$ = 82, $N$ = 126 shell closures within the generalized liquid drop model",2020-05-07,"According to the abstract, what relationship is observed between the $\alpha$ decay preformation factors ($P_{\alpha}$) and the product of valence protons (holes) and valence neutrons (holes) ($n_p n_n$) for the nuclei around the Z = 82, N = 126 closed shells when studied within the generalized liquid drop model (GLDM)?",factual
1980674,Spectral sum from Euclidean lattice correlators and determination of renormalization constants,2021-11-30,What is the proposed method for renormalizing lattice operators based on the Shifman-Vainshtein-Zakharov QCD sum rule?,conceptual
2787408,Formation of Superconducting Pair Correlations in Spherical Even–Even Nuclei,2024-05-16,"In spherical even-even nuclei with closed subshells, what condition is necessary for superconducting pair correlations to occur, and what is known about the threshold value for this condition?",factual
2691251,Renormalization of many-body effective field theory,2023-08-28,"According to the abstract, what condition must be met for renormalization group (RG) invariance to be achieved in general non-relativistic effective field theories (EFTs)?",factual
2617938,Study of charm and beauty in QGP from unquenched lattice QCD,2022-12-23,What lattice QCD approach and quark masses were used to calculate charmonium and bottomonium correlators in this study?,factual
1974040,Variational and parquet-diagram calculations for neutron matter. IV. Spin-orbit interactions and linear response,2021-11-23,"How do many-body correlations affect the bare spin-orbit potential in neutron matter, according to the paper?",factual
2091304,New insights into the oscillations of the nucleon electromagnetic form factors,2022-06-03,"How are the oscillations of the proton and neutron electromagnetic form factors described in the timelike region, and what are the characteristics of the two fractional oscillators involved?",conceptual
2686497,Radiative neutron capture reaction rates for stellar nucleosynthesis,2023-08-03,"What specific iron isotopes and their corresponding (n,$\\gamma$) reactions are investigated in this study for stellar nucleosynthesis?",factual
1863296,Linking continuum and lattice quark mass functions via an effective charge,2021-05-13,"What methods are used in the study to compute the quark mass function, and how do the results from these methods compare?",factual
1855983,Dynamical evolution of a magnetic field in the preequilibrium quark-gluon plasma,2021-04-01,What is the kinetic framework established in this paper to study the dynamical decay of the magnetic field in the preequilibrium stages of a weakly coupled quark-gluon plasma?,factual
2740615,Investigation of two-particle contributions to nucleon matrix elements,2023-12-25,"What type of contributions to nucleon matrix elements are investigated in this study, and what interpolating fields are used?",factual
1858947,Solution of universal nonrelativistic nuclear DFT equations in the Cartesian deformed harmonic-oscillator basis. (IX) HFODD (v3.06h): a new version of the program,2021-04-16,What are the new features implemented in version v3.06h of the HFODD code for solving nuclear DFT equations?,summary
2717813,"Operator product expansion for radial lattice quantization of 3D <math display=""inline""><msup><mi>ϕ</mi><mn>4</mn></msup></math> theory",2023-11-02,What specific scaling dimensions and ratios of operator product expansion coefficients are accurately determined in the abstract for the 3D Ising CFT using radial quantization on simplicial lattices?,factual
2693893,"Production of doubly charmed hadrons <math><msubsup><mi mathvariant=""normal"">Ξ</mi><mrow><mi>c</mi><mi>c</mi></mrow><mrow><mo>+</mo><mo>+</mo></mrow></msubsup></math> and <math><msubsup><mi>T</mi><mrow><mi>c</mi><mi>c</mi></mrow><mo>+</mo></msubsup></math> in relativistic heavy-ion collisions",2023-09-06,"How does the production of the \(\textlessml\ranglemsubsup<0xC2><0x81><0xC2><0xA7><0xC2><0x81><0xC2><0xA7>\textless/ml\rangle^{++}\) hadron vary when different widths in the Wigner function, representing distinct binding energies of the \(\textlessml\ranglemsubsup<0xC2><0x81><0xC2><0xA7><0xC2><0x81><0xC2><0xA7>\textless/ml\rangle^{+ +}\) state, are considered?",factual
3095752,Rotationally invariant dynamical lattice regulators for Euclidean quantum field theories,2025-12-26,"What is the proposed method for regulating Euclidean quantum field theories on a lattice, and how does it achieve exact covariance under the special Euclidean group SE(d)?",conceptual
2601264,Exploring distillation at the SU(3) flavour symmetric point,2022-11-28,"What is the primary goal of the research presented in the abstract, and what specific preliminary study is being conducted to achieve it?",summary
1819258,Emergent Structure in QCD,2020-09-25,"How do branching points in the S U(3) gauge-field vacuum relate to topological charge, as visualized in the provided research?",factual
2835773,Big Bang: a theory or fact,2024-09-30,What are the four fundamental forces that Big Bang nucleosynthesis is sensitive to?,factual
2920220,Angular momentum of glasma,2025-05-12,"What aspect of the glasma's angular momentum is the primary focus of this study, and how does it differ from the global angular momentum perpendicular to the reaction plane?",factual
1907110,Interplay between core and corona components in high-energy nuclear collisions,2021-08-17,"According to the DCCI2 framework, above which approximate value of $\langle dN_{\mathrm{ch}}/d\eta \rangle_{|\eta|<0.5}$ does the core contribution to high-energy nuclear collisions overtake the corona contribution, irrespective of the collision system or energy?",factual
2739792,Microscopic study of <math><mrow><mi>M</mi><mn>1</mn></mrow></math> resonances in Sn isotopes,2023-12-21,How does the inclusion of tensor terms in the Skyrme energy density functionals affect the agreement between calculated and experimental magnetic dipole (<math><mrow><mi>M</mi><mn>1</mn></mrow></math>) strengths for Sn isotopes?,factual
1846028,Dependence on beam energy and nuclear equation of state of anisotropic flow and particle production in low-energy heavy-ion collisions,2021-02-11,What is the beam energy range and impact parameter range investigated for Au + Au collisions in the abstract?,factual
2944830,Breakdown scale of pionless effective field theory in the three-nucleon sector,2025-07-11,"What is the predicted mode of the breakdown scale for pionless effective field theory in the three-nucleon sector, as inferred using Bayesian methods and neutron-deuteron total cross sections up to next-to-next-to-leading order?",factual
2634599,Review on Algorithms for dynamical fermions,2024-02-18,"What are the key algorithmic developments discussed in the review for simulating gauge theories at very fine lattice spacings, particularly concerning the freezing of the topological charge?",summary
2721095,Neutron Skins: Weak Elastic Scattering and Neutron Stars,2023-11-10,What experimental campaign confirmed a relatively large neutron skin in lead and provided a precise determination of the interior baryon density of a heavy nucleus?,factual
3006056,Properties of Neutron Stars with Hyperons within a Relativistic Metamodel,2025-10-01,How do different relativistic metamodels incorporating $\Lambda$-hyperons affect the maximum mass of neutron stars compared to purely nucleonic compositions?,factual
2039314,Effective field theory of pairing rotations,2022-02-26,What is the relationship between pairing rotational bands in semimagic nuclei and the pairing spectrum in open-shell nuclei according to the effective field theory presented?,conceptual
1839198,Charged particles interaction in both a finite volume and a uniform magnetic field,2021-01-04,What type of quantization condition is obtained for short-range interactions between charged particles in a finite volume and a uniform magnetic field?,factual
1821359,Chiral extrapolation of the magnetic polarizability of the neutral pion,2020-10-04,"What formalism is used to calculate the magnetic polarizability of the neutral pion in the background magnetic-field formalism of lattice QCD, and how are the chiral extrapolation and leading nonanalytic terms of chiral perturbation theory handled?",factual
2126032,Euclidean dynamical triangulations revisited,2022-07-26,"What is the behavior of the latent heat in the first-order phase transitions as the coupling <math display=""inline""><mi>κ</mi></math> approaches infinity?",factual
2630142,The Los Alamos evaluation of $^{239}$Pu neutron-induced reactions in the fast energy range,2023-02-06,What is the energy range covered by the Los Alamos evaluation of $^{239}$Pu neutron-induced reaction cross sections reported in this paper?,factual
1846666,Isovector electromagnetic form factors of the nucleon from lattice QCD and the proton radius puzzle,2021-02-15,What are the lattice QCD results for the nucleon isovector magnetic moment ($\mu$) and the square of the isovector magnetic radius ($\langle r_{M^2} \rangle$) at the physical point?,factual
2133861,Spin-thermal Shear Coupling in Relativistic Nuclear Collisions,2022-08-08,"What previously overlooked, non-dissipative contribution to the spin polarization vector does the covariant theory of relativistic quantum fluids at local equilibrium imply, and how does it relate to the thermal shear?",factual
